objectid,filename,title,format,description,creator,date-begun,date-is-approximate?,subject,binding-type,language,physical-location,latitude,longitude,related-sources,extent,rights,type,rightsstatement
commonplace001,https://repository.library.brown.edu/studio/item/bdr:425484/,H. P. Lovecraft's Commonplace Book from 1919 to 1934,image/jpeg,"The illustrated cover was drawn by Robert H. Barlow. In a prefatory note HPL states: ""This book consists of ideas, images, & quotations, hastily jotted down for possible future use in weird fiction. Very few are actually developed plots - for the most part they are merely suggestions or random impressions designed to set the memory or imagination cranking. Their sources are various - dreams, things read, casual incidents, idle conceptions, & so on."" This book is inscribed: ""Presented to R. H. Barlow, Esq. on May 7, 1934 - in exchange for an admirably neat typed copy from his skilled hand."" The typed version is Accession A55361 [170]. First published in Barlow's edition of The Notes & Commonplace Book employed by the late H. P. Lovecraft (Lakeport, CA: The Futile Press, 1938).","Lovecraft, H.P.",1919,,fantasy fiction; horror tales; American; twentieth century; drawings; manuscript; personal notes; quotations,,eng,Brown University Library,41.826820,-71.402931,,35 pages,no copyright,text,https://rightsstatements.org/page/NoC-US/1.0/?language=en
commonplace002,https://repository.library.brown.edu/studio/item/bdr:425485/,H.P. Lovecraft's Commonplace Book,image/jpeg,"Lovecraft asked Barlow to type up his notes from his original Commonplace Book (Accession A322500 [3]). This is Barlow's typed version of the manuscript Commonplace Book. This small loose-leaf notebook contains manuscript additions by HPL at the end. First published in Barlow's edition of The Notes & Commonplace Book employed by the late H. P. Lovecraft (Lakeport, CA: The Futile Press, 1938).","Lovecraft, H.P.",1919,,fantasy fiction; horror tales; American; twentieth century; manuscript; personal notes; quotations,loose leaf,eng,Brown University Library,41.82682,-71.402931,,40 pages,no copyright,text,https://rightsstatements.org/page/NoC-US/1.0/?language=en
commonplace003,https://curiosity.lib.harvard.edu/reading/catalog/42-990099182610203941,Scraps and notes,image/jpeg,"Commonplace book of poetry and excerpts, with some poetry authored by Read. The clippings are of various news curiosities and poetry.","Read, Harry Clinton",1883,,English; American; poetry; printed waste; news; manuscript,printed waste; wrapper; pamphlet,eng,"Houghton Library, Harvard University",42.3731,71.1182,National Gazetteer of Great Britain; The Works of Lordy Byron,28 pages,no copyright,text,https://library.harvard.edu/about/policies/privacy-terms-use-copyright-information#digitizedcontent
commonplace004,https://curiosity.lib.harvard.edu/reading/catalog/42-990095845260203941,"A booke of the coppies of letters, libells & outher inventions of men",image/jpeg,"Commonplace book with sermons, geneaologies, booklists, newspaper articles, pamphlets, drawings, and original prose and poetry. Contains commentary and information about Elizabethan religious controversies.","Batman, Stephen",1584,yes,sermons; geneologies; booklists; news; pahmphlets; drawings; prose; poetry; prose (original); poetry (original); sixteenth century,vellum,eng,"Houghton Library, Harvard University",42.3731,71.1182,,127 pages,no copyright,text,https://library.harvard.edu/about/policies/privacy-terms-use-copyright-information#digitizedcontent
commonplace005,https://curiosity.lib.harvard.edu/reading/catalog/42-990097676560203941,Minced meat for pyes,image/jpeg,"Notes on books of the Bible, Roman rulers and history, English rulers and history, the place of women in society, and other wide-ranging topics. Includes some poetry.","Piozzi, Hester Lynch",1741,yes,semons; history; English; women; poetry; eighteenth century; manuscript; fragments,wax seal,eng,"Houghton Library, Harvard University",42.3731,71.1182,,100 pages,no copyright,text,https://library.harvard.edu/about/policies/privacy-terms-use-copyright-information#digitizedcontent
commonplace006,https://curiosity.lib.harvard.edu/reading/catalog/42-990101961040203941,"A common place book, upon the plan recommended and practised by John Locke, Esq.",image/jpeg,"Contains exerpts, arranged by subject, from various texts with citation of author, title, and edition, including Bayle's Historical and Critical Dictionary (London, 1734), Wordsworth's Poems (London, 1815), Milton's prose works, edited by Charles Simmons (London, 1806), Southey's Metrical tales (London, 1805), and others.","Loring, Ellis Gray",1823,,history; poetry; printed; nineteenth century,half leather,eng,"Houghton Library, Harvard University",42.3731,71.1182,Bayle's Historical and Critical Dictionary; Wordsworth's Poems; Milton's prose works; Southey's Metrical tales,49 pages,no copyright,text,https://library.harvard.edu/about/policies/privacy-terms-use-copyright-information#digitizedcontent
commonplace007,https://curiosity.lib.harvard.edu/reading/catalog/42-990033581460203941,A new method of making common-place-books,image/jpeg,"written by the late learned Mr. John Lock, author of the Essay concerning humane understanding : translated from the French, to which is added something from Monsieur Le Clerc, relating to the same subject : a treatise necessary for all gentlemen, especially students of divinity, physick, and law ; there are also added two letters, containing a most useful method for instructing persons that are deaf and dumb, or that labour under any impediments of speech, to speak distinctly, writ by the late learned Dr. John Wallis ...","Locke, John",1706,,English; eighteenth century; education,quarter leather,eng,"Houghton Library, Harvard University",42.3731,71.1182,,60 pages,no copyright,text,https://library.harvard.edu/about/policies/privacy-terms-use-copyright-information#digitizedcontent
commonplace008,https://digital.americanancestors.org/digital/collection/p15869coll26/id/812,Commonplace book of Francis Dane,image/jpeg,"Handwritten extracts from the readings of a clergyman. Includes recipes such as ""against setting of cold about ye head & stomach"" as well as recipes to prepare various colors including sea, russet, blood red, purple, etc.","Dane, Francis",1648,yes,sermons; American; poetry; recipes; health; history; culture; manuscript,,eng,"R. Stanton Avery Special Collections, New England Historic Genealogical Society",42.35149,-71.07545,,200 pages,no copyright,text,This item is in the public domain. There are no known restrictions on the use of this image.
commonplace009,https://digitalcollections.nypl.org/items/d04d99f0-8e53-0134-84bb-00505686a51c?canvasIndex=50,"Songs unto the violl and lute; or Anne Twice, her booke",image/jpeg,Contains 29 songs (10 with lute accompaniment; 19 for treble and bass); 17th cent. poetry; and collected recipes.,"Twice, Anne",1620,yes,seventeenth century; music; English; recipes,quarter leather,eng,New York Public Library,40.7532,73.9823,,27 pages,no copyright,text; notated music,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future."
commonplace010,https://repository.duke.edu/dc/earlymss/emsar01049,North African commonplace book in Arabic,image/jpeg,"Manuscript codex; Title devised by cataloger. Physical description: Varying lines per page, written in maghribī script on heavy laid European paper with large crown watermark (e. g. leaf 109). Leaves 2b, 38b, 58a, 73a blank. Some staining; a few leaves have repairs to the inner margin, resulting in slight loss of text. Mild insect damage. Disbound.

A commonplace book consisting primarily of poetry quotations with their accompanying explanatory text in prose, particularly from Abū al-Faraj's Kitāb al-aghānī (e. g. leaves 6a, 10a, 16a, etc. ). On leaf 116a is a list of the years between successive prophetic revelations; on leaves 118a, 119a are schematic diagrams of buildings.

Loose in red leather wrapper with flap; blind-stamped central mandorla, blind-tooled fillets, gold-stamped quatrefoils in corners, gold tooled border around mandorla, gold-tooled chain extending vertically from top and bottom of mandorla to fillets. Spine split apart.

Forms part of the Harry L. and Mary K. Dalton Collection (David M. Rubenstein Rare Book & Manuscript Library, Duke University).",,1700,yes,eighteenth century; poetry; African; manuscript; Maghribi; architecture; illustration,wrapper,ara,Duke University Libraries,36.0029,78.9384,,124 pages,no copyright,text,https://creativecommons.org/publicdomain/mark/1.0
commonplace011,https://hdl.huntington.org/digital/collection/p15150coll7/id/65235/rec/3,Ann Jordan album; or selections from many authors; interspersed with drawings and poetry,image/jpeg,"An illustrated commonplace album with transcribed verses, watercolors, and drawings; the album was a gift to Ann Jordan from her brother W. P. Jordan in 1828. The album contains 27 watercolor illustrations including flowers and butterflies (the latter usually cut and pasted to various leaves), and nine pencil sketches. Also included are poems by Thomas H. Bayly, Mary Ann Browne, Lady Byron, Lord Byron, Benjamin Franklin, Oliver Goldsmith, Peter Pindar (whose real name was John Wolcot), Ann Radcliffe, and George R. Sims. The album contains a number of blank pages and is bound in contemporary red half morocco; the corners and spine are worn and damaged.","Jordan, Ann",1828,yes,nineteenth century; poetry; illustration; drawings; botanical illustration; English; human ecology; lepidopterists; ornithology; women; botany,half leather,eng,The Huntington Library,34.1290,118.1145,,194 pages,no copyright,text,https://www.huntington.org/library/library-rights-and-permissions
commonplace012,https://digitalcollections.folger.edu/bib229438-261775,Commonplace book of Matthew Day,image/jpeg,"Commonplace book of Latin aphorisms (Part I: p. 1-9). Poetical miscellany (Part II: p. 1-107). Among the poets mentioned are Denham, Thomas Dekker, Walter Raleigh, Randolph, Herrick, King, Thomas May and Shakespeare to whom a poem on the King is attributed (p. 2, Part II). Probably collected by Matthew Day who was mayor of Windsor. Also, a work on the five senses.","Day, Matthew",1650,yes,seventeenth century; aphorisms; poetry; manuscript,,eng; lat,Folger Shakespeare Library,38.8893,77.0028,,163 pages,no copyright,text,https://rightsstatements.org/page/NoC-US/1.0/
commonplace013,https://digitalcollections.folger.edu/bindings_bib220259-249577,Commonplace book of Francis Stringerca,image/jpeg,"Majority of the entries are taken from classical authors and arranged alphabetically by subject. The cover is from a 12th century manuscript service book, belonging to a John Novell.","Stringer, Francis",1628,yes,seventeenth century,manuscript waste; twelfth century; vellum; English,eng; lat,Folger Shakespeare Library,38.8893,77.0028,,3 pages,no copyright,text,https://rightsstatements.org/page/NoC-US/1.0/
commonplace014,https://digitalcollections.folger.edu/bib244741-309974-lb674,Commonplace book of Christopher Rous,image/jpeg,"Contains sentences from Seneca and others; A thankful man's calendar, by ""Mr Ward of Ipsw[ich]""; and copies of two letters, one to his aunt and one to Mr. H. Gawdy. For a discussion of this manuscript, see The Modern Language Review, October 1964.","Rous, Christopher",1623,,seventeenth century; philosophy; letters; manuscript,,eng,Folger Shakespeare Library,38.8893,77.0028,,17 pages,no copyright,text,https://rightsstatements.org/page/NoC-US/1.0/
commonplace015,https://digitalcollections.folger.edu/bib244378-309586-lf126,Partial index to a commonplace book,image/jpeg,From a collection of commonplace books of the reign of Charles I.,,1645,yes,seventeenth century; index; manuscript; fragment,,eng,Folger Shakespeare Library,38.8893,77.0028,,3 pages,no copyright,text,https://rightsstatements.org/page/NoC-US/1.0/